Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-25 00:00:00,12.200000000000001,-71.60000000000001,26,1005
2021-08-25 06:00:00,11.9,-72.5,30,1006
2021-08-25 12:00:00,12.100000000000001,-74.2,34,1006
2021-08-25 18:00:00,13.100000000000001,-76.3,31,1007
2021-08-26 00:00:00,14.200000000000001,-77.7,30,1006
2021-08-26 06:00:00,14.3,-78.9,32,1007
2021-08-26 12:00:00,15.0,-79.9,30,1005
2021-08-26 18:00:00,15.600000000000001,-80.60000000000001,32,1006
2021-08-27 00:00:00,16.8,-80.9,36,1006
2021-08-27 06:00:00,18.1,-81.9,33,1005
2021-08-27 12:00:00,18.7,-83.0,40,1004
2021-08-27 18:00:00,19.400000000000002,-83.9,43,1001
2021-08-28 00:00:00,20.700000000000003,-84.5,49,1003
2021-08-28 06:00:00,21.900000000000002,-85.80000000000001,52,997
2021-08-28 12:00:00,23.200000000000003,-87.10000000000001,61,988
2021-08-28 18:00:00,24.1,-88.7,60,986
2021-08-29 00:00:00,24.900000000000002,-90.10000000000001,68,980
