Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,117.58195018546355,0.0,4.0
6.0,48.86052087013646,0.0,7.0
12.0,55.15601197360669,0.0,9.0
18.0,35.08244820002484,0.0,5.0
24.0,105.23553934377712,0.0,1.0
30.0,62.06355244018826,0.0,-2.0
36.0,77.42646064749539,-1.0,4.0
42.0,34.06505639424753,-2.0,3.0
48.0,91.48613004980149,-1.0,2.0
54.0,98.60188616468164,-3.0,1.0
60.0,147.7977653161044,-2.0,-1.0
66.0,178.36884299233483,-1.0,-3.0
72.0,172.057611051439,2.0,-4.0
78.0,162.9256072327747,5.0,-16.0
84.0,181.96119559321468,-3.0,-10.0
90.0,173.37138457976263,-3.0,1.0
96.0,173.93950493391858,-3.0,-7.0
102.0,204.12181374982504,5.0,-13.0
