Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,164.65626083489093,-1.0,-1.0
6.0,107.48627594523902,0.0,8.0
12.0,111.72574425745587,-3.0,6.0
18.0,150.93707620675943,0.0,1.0
24.0,101.38665383367739,-1.0,-2.0
30.0,120.7973818752365,0.0,1.0
36.0,177.83695139687885,0.0,-1.0
42.0,158.50421509187336,0.0,-1.0
48.0,133.8308561578841,0.0,-2.0
54.0,185.689087506839,-1.0,-4.0
60.0,266.9717152466409,1.0,-4.0
66.0,275.1370407993976,5.0,-16.0
72.0,279.6372860500656,9.0,-19.0
78.0,268.2829086801459,0.0,-10.0
84.0,265.5412595030971,-2.0,0.0
90.0,293.68999767156544,1.0,-14.0
