Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,117.58195018546355,0.0,4.0
6.0,48.86052087013646,0.0,7.0
12.0,55.15601197360669,0.0,9.0
18.0,35.08244820002484,0.0,5.0
24.0,105.23553934377712,0.0,1.0
30.0,62.06355244018826,0.0,-2.0
36.0,61.94785007281129,-1.0,4.0
42.0,77.30739313835973,0.0,3.0
48.0,158.16022317861933,-1.0,6.0
54.0,261.3428529660953,-1.0,-5.0
60.0,365.3521333195189,0.0,-10.0
66.0,472.38552023292624,2.0,-11.0
72.0,418.30471756568295,8.0,-16.0
78.0,430.18566120761386,15.0,-26.0
84.0,452.8351557872482,12.0,-24.0
