Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,117.58195018546355,0.0,4.0
6.0,48.86052087013646,0.0,7.0
12.0,55.15601197360669,0.0,9.0
18.0,35.08244820002484,0.0,5.0
24.0,105.23553934377712,0.0,1.0
30.0,62.06355244018826,0.0,-2.0
36.0,77.42646064749539,-1.0,4.0
42.0,34.06505639424753,-2.0,3.0
48.0,105.08484539332835,0.0,6.0
54.0,179.5341287039492,-2.0,5.0
60.0,256.29156681749964,-1.0,-5.0
66.0,315.69833295050097,1.0,-8.0
72.0,301.0400835749981,-1.0,-4.0
78.0,304.1895917360055,4.0,-18.0
84.0,314.0878502821156,-1.0,-11.0
90.0,336.96419661328855,-2.0,-7.0
