Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,87.63886799467038,-1.0,1.0
6.0,93.29256490167106,0.0,5.0
12.0,134.66402852770594,0.0,4.0
18.0,55.065319565164145,1.0,1.0
24.0,78.69897929935023,0.0,0.0
30.0,139.21492294488078,1.0,2.0
36.0,198.1723765846934,-1.0,0.0
42.0,266.30461493613706,1.0,-2.0
48.0,310.4392897748774,1.0,-11.0
54.0,334.9237738879423,4.0,-14.0
60.0,360.5632530689731,10.0,-22.0
66.0,418.0935507973259,18.0,-31.0
72.0,514.9339057393508,15.0,-34.0
78.0,528.9408950256891,15.0,-24.0
84.0,443.13291853878803,16.0,-17.0
