Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,34.47789917437369,1.0,11.0
12.0,97.74951356237986,-1.0,4.0
18.0,109.18953557583482,0.0,6.0
24.0,67.59648907571864,0.0,1.0
30.0,169.94586201327587,0.0,-1.0
36.0,66.71705023451474,1.0,0.0
42.0,58.37183272122955,0.0,-1.0
48.0,70.26883107357583,0.0,2.0
54.0,98.68790189694938,-2.0,10.0
60.0,133.3870739775449,-1.0,-1.0
66.0,172.09899596421607,-1.0,-1.0
72.0,227.4973084174296,0.0,-3.0
78.0,221.26595116740478,3.0,-4.0
84.0,235.92193751893754,7.0,-18.0
90.0,271.11505523208535,-2.0,-14.0
96.0,261.4579861245673,-4.0,-1.0
