Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,34.47789917437369,1.0,11.0
12.0,65.23480022776127,0.0,4.0
18.0,98.39004856980705,0.0,8.0
24.0,139.9768587248568,-1.0,2.0
30.0,129.79091505145527,-2.0,0.0
36.0,89.07529150974572,1.0,-1.0
42.0,45.77011335542711,-1.0,-1.0
48.0,117.49041132653984,0.0,3.0
54.0,124.94156032405652,-2.0,11.0
60.0,88.95606697935304,-1.0,0.0
66.0,126.37319566204857,-2.0,-3.0
72.0,162.25895227988028,-3.0,-4.0
78.0,196.93925498363848,2.0,-6.0
84.0,187.18575056085425,8.0,-20.0
90.0,214.0548775083443,1.0,-11.0
96.0,203.65175572766344,1.0,-9.0
