Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,87.63886799467038,-1.0,1.0
6.0,93.29256490167106,0.0,5.0
12.0,134.66402852770594,0.0,4.0
18.0,55.065319565164145,1.0,1.0
24.0,78.69897929935023,0.0,0.0
30.0,139.21492294488078,1.0,2.0
36.0,198.1723765846934,-1.0,0.0
42.0,231.97643406575693,0.0,-3.0
48.0,182.55690049567735,2.0,-4.0
54.0,178.83483403748932,3.0,-12.0
60.0,232.99550095796576,8.0,-15.0
66.0,269.9420234584153,14.0,-27.0
72.0,235.19184414446562,14.0,-21.0
78.0,210.67568343901135,10.0,-18.0
84.0,195.1690097680788,2.0,-9.0
90.0,269.65114562401004,10.0,-20.0
96.0,320.45075975621285,13.0,-22.0
