Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-25 00:00:00,12.200000000000001,-71.60000000000001,26,1005
2021-08-25 06:00:00,11.9,-72.5,30,1006
2021-08-25 12:00:00,12.200000000000001,-74.10000000000001,35,1006
2021-08-25 18:00:00,12.8,-75.60000000000001,32,1007
2021-08-26 00:00:00,13.8,-77.80000000000001,28,1006
2021-08-26 06:00:00,14.4,-79.0,32,1007
2021-08-26 12:00:00,15.100000000000001,-80.0,31,1007
2021-08-26 18:00:00,16.0,-80.5,34,1005
2021-08-27 00:00:00,17.6,-81.2,41,1005
2021-08-27 06:00:00,17.900000000000002,-82.0,40,1004
2021-08-27 12:00:00,18.900000000000002,-82.9,42,1001
2021-08-27 18:00:00,20.0,-83.80000000000001,51,994
2021-08-28 00:00:00,21.400000000000002,-85.10000000000001,59,992
2021-08-28 06:00:00,22.8,-86.30000000000001,72,987
2021-08-28 12:00:00,23.900000000000002,-87.80000000000001,62,985
2021-08-28 18:00:00,25.0,-89.0,67,984
