Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.9,25,1007
2021-08-24 12:00:00,11.9,-66.7,31,1009
2021-08-24 18:00:00,11.700000000000001,-69.4,29,1005
2021-08-25 00:00:00,12.4,-71.8,31,1006
2021-08-25 06:00:00,11.9,-73.2,26,1006
2021-08-25 12:00:00,11.600000000000001,-75.2,29,1006
2021-08-25 18:00:00,12.9,-76.0,30,1006
2021-08-26 00:00:00,14.0,-76.80000000000001,30,1006
2021-08-26 06:00:00,14.3,-77.4,30,1006
2021-08-26 12:00:00,15.3,-78.4,35,1004
2021-08-26 18:00:00,16.0,-79.5,33,1005
2021-08-27 00:00:00,16.6,-80.80000000000001,34,1006
2021-08-27 06:00:00,17.3,-81.9,36,1005
2021-08-27 12:00:00,18.0,-83.0,48,1002
2021-08-27 18:00:00,18.5,-84.10000000000001,43,1001
