Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,78.5930701906915,-1.0,8.0
24.0,285.60718654148604,-2.0,1.0
30.0,332.06322564402603,-4.0,3.0
36.0,313.68543653035863,0.0,4.0
42.0,306.8423945943234,1.0,1.0
48.0,269.0541317945334,-1.0,6.0
54.0,231.0807951148923,1.0,8.0
60.0,177.48390047970588,-4.0,2.0
66.0,157.95837841322455,1.0,-6.0
72.0,239.39056410282453,-1.0,-6.0
78.0,233.74520553600235,5.0,-11.0
84.0,281.09754615955717,14.0,-26.0
90.0,343.7640818028682,14.0,-21.0
96.0,386.97637091116434,10.0,-19.0
102.0,383.8825799830846,4.0,-16.0
