Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,79.3170864825085,-1.0,-1.0
18.0,120.00033563386397,0.0,3.0
24.0,39.4468187913207,-1.0,2.0
30.0,80.80227447880014,-2.0,-4.0
36.0,0.0,-1.0,5.0
42.0,0.0,0.0,4.0
48.0,59.60488440167188,0.0,7.0
54.0,102.33443007784543,-1.0,4.0
60.0,167.76064037142797,-3.0,2.0
66.0,247.24737829064313,-1.0,-2.0
72.0,340.327084236424,-1.0,-5.0
78.0,354.85928284839696,2.0,-6.0
84.0,403.051047778804,10.0,-25.0
90.0,407.4241370611624,3.0,-12.0
96.0,442.6906727632015,3.0,-16.0
102.0,451.1273751781054,7.0,-29.0
