Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,73.30148969676708,-1.0,-1.0
18.0,109.18953557583482,0.0,3.0
24.0,73.21420985786517,-1.0,2.0
30.0,80.80227447880014,0.0,-7.0
36.0,0.0,-1.0,2.0
42.0,11.119508372419098,0.0,1.0
48.0,144.5536088414488,-1.0,-1.0
54.0,166.79262558628696,-1.0,6.0
60.0,213.59762063718844,-1.0,0.0
66.0,234.11521508403425,-1.0,-1.0
72.0,351.92960766271784,0.0,-7.0
78.0,421.16610929885286,5.0,-19.0
84.0,510.8375821765965,14.0,-26.0
90.0,575.0894495785348,14.0,-26.0
96.0,531.6746930145356,9.0,-19.0
102.0,558.7225693249907,9.0,-26.0
