Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,124.45782084983887,-1.0,4.0
24.0,125.73568981538973,-1.0,6.0
30.0,196.0350436210857,0.0,3.0
36.0,227.28156454070233,-1.0,2.0
42.0,263.19886579056754,0.0,4.0
48.0,284.1493253510434,-1.0,2.0
54.0,213.68532419659164,3.0,6.0
60.0,155.14230455258576,-1.0,2.0
66.0,74.02692230482477,1.0,0.0
72.0,67.53839230914156,2.0,-2.0
78.0,104.87294801364676,6.0,-13.0
84.0,167.68583042094954,15.0,-27.0
90.0,151.72354769709946,17.0,-22.0
96.0,151.47779926703583,12.0,-19.0
102.0,132.01597089134472,9.0,-16.0
